Bana 1;Bitar;Segment;Subsegment;Längd;Svängighet;Lutning;Maxspänning;;;Bana 2;Bitar;Segment;Subsegment;Längd;Svängighet;Lutning;Maxspänning;;Bana 2;Segment;Längd;;;
;Start;1;1;300;0;;?;;;;Start;1;1;300;0;;?;;;1;2525;;;
;Hel;;2;350;;;;;;;Hel;;2;350;;;;;;2;525;;;
;Hel;;3;350;;;;;;;Hel;;3;350;;;;;;3;1865;;;
;Hel;;4;350;;;;;;;Hel;;4;350;;;;;;4;2680;;;
;Hel;;5;350;;;;;;;Hel;;5;350;;;;;;5;1240;;;
;Hel;;6;350;;;;;;;Hel;;6;350;;;;;;6;1810;;;
;Hel;;7;350;;;;;;;Hel;;7;350;;;;;;7;4030;;;
;Innan seg;;8;125;;;;;;;Innan seg;;8;125;;;;;;8;3085;;;
;Efter seg;2;1;225;;;;;;;Efter seg;2;1;225;;;;;;9;2190;;;19 950
;Innan seg;;2;300;;;;;;;Innan seg;;2;300;;;;;;;;;;
;Efter seg;3;1;50;;;;;;;Efter seg;3;1;50;;;;;Bana 1;Segment;Längd;;;
;Inner;;2;200;225;;;;;;Ytter;;2;250;225;;;;;1;2525;;;
;Inner;;3;200;;;;;;;Ytter;;3;250;;;;;;2;525;;;
;Inner;;4;200;;;;;;;Ytter;;4;250;;;;;;3;1675;;;19 560
;Inner;;5;200;;;;;;;Ytter;;5;250;;;;;;4;2920;;;
;Inner;;6;200;;;;;;;Ytter;;6;250;;;;;;5;1200;;;
;Hel;;7;350;;;;;;;Hel;;7;350;;;;;;6;2010;;;
;Ytter + Innan seg;;8;275;-45;;;;;;Inner + Innan seg;;8;215;-45;;;;;7;3830;;;
;Efter seg;4;1;325;;;;;;;Efter seg;4;1;325;;;;;;8;2885;;;
;Hel;;2;350;;;;;;;Hel;;2;350;;;;;;9;1990;;;
;Halv;;3;175;;;;;;;Halv;;3;175;;;;;;;;;;
;Halv;;4;175;;;;;;;Halv;;4;175;;;;;;;;;;
;Ytter;;5;250;-90;;;;;;Inner;;5;200;-90;;;;;;;;;
;Ytter;;6;250;;;;;;;Inner;;6;200;;;;;;;;;;
;Kort;;7;90;;;;;;;Kort;;7;90;;;;;;;;;;
;Bro;;8;235;;;;;;;Bro;;8;235;;;;;;;;;;
;Hel;;9;350;;;;;;;Hel;;9;350;;;;;;;;;;
;Ytter;;10;250;-135;;;;;;Inner;;10;200;-135;;;;;;;;;
;Ytter;;11;250;;;;;;;Inner;;11;200;;;;;;;;;;
;Ytter;;12;250;;;;;;;Inner;;12;200;;;;;;;;;;
;Inner;5;1;200;90;;;;;;Ytter;5;1;250;90;;;;;;;;;
;Inner;;2;200;;;;;;;Ytter;;2;250;;;;;;;;;;
;Ytter;;3;250;-90;;;;;;Inner;;3;200;-90;;;;;;;;;
;Ytter;;4;250;;;;;;;Inner;;4;200;;;;;;;;;;
;Inner;;5;400;45;;;;;;Ytter;;5;500;45;;;;;;;;;
;Ytter;6;1;250;-225;;;;;;Inner;6;1;200;-225;;;;;;;;;
;Ytter;;2;250;;;;;;;Inner;;2;200;;;;;;;;;;
;Ytter;;3;250;;;;;;;Inner;;3;200;;;;;;;;;;
;Ytter;;4;250;;;;;;;Inner;;4;200;;;;;;;;;;
;Ytter;;5;250;;;;;;;Inner;;5;200;;;;;;;;;;
;Hel;;6;350;;;;;;;Hel;;6;350;;;;;;;;;;
;Hel;;7;350;;;;;;;Hel;;7;350;;;;;;;;;;
;Inner;7;1;200;45;;;;;;Ytter;7;1;250;45;;;;;;;;;
;Kort;;2;90;;;;;;;Kort;;2;90;;;;;;;;;;
;Ytter;;3;250;-90;;;;;;Inner;;3;200;-90;;;;;;;;;
;Ytter;;4;250;;;;;;;Inner;;4;200;;;;;;;;;;
;Hel;;5;350;;;;;;;Hel;;5;350;;;;;;;;;;
;Inner;;6;200;45;;;;;;Ytter;;6;250;45;;;;;;;;;
;Bro;;7;235;;;;;;;Bro;;7;235;;;;;;;;;;
;Bro;;8;235;;;;;;;Bro;;8;235;;;;;;;;;;
;Ytter;;9;250;-45;;;;;;Inner;;9;200;-45;;;;;;;;;
;Hel;;10;350;;;;;;;Hel;;10;350;;;;;;;;;;
;Halv;;11;175;;;;;;;Halv;;11;175;;;;;;;;;;
;Inner;;12;200;135;;;;;;Ytter;;12;250;135;;;;;;;;;
;Inner;;13;200;;;;;;;Ytter;;13;250;;;;;;;;;;
;Inner;;14;200;;;;;;;Ytter;;14;250;;;;;;;;;;
;Halv;;15;175;;;;;;;Halv;;15;175;;;;;;;;;;
;Inner;;16;200;90;;;;;;Ytter;;16;250;90;;;;;;;;;
;Inner;;1;200;;;;;;;Ytter;;17;250;;;;;;;;;;
;Ytter;8;2;250;-45;;;;;;Inner;8;1;200;-45;;;;;;;;;
;Inner;;3;200;45;;;;;;Ytter;;2;250;45;;;;;;;;;
;Halv;;4;175;;;;;;;Halv;;3;175;;;;;;;;;;
;Inner;;5;200;90;;;;;;Ytter;;4;250;90;;;;;;;;;
;Inner;;6;200;;;;;;;Ytter;;5;250;;;;;;;;;;
;Bro;;7;235;;;;;;;Bro;;6;235;;;;;;;;;;
;Hel;;8;350;;;;;;;Hel;;7;350;;;;;;;;;;
;Inner;;9;200;90;;;;;;Ytter;;8;250;90;;;;;;;;;
;Inner;;10;200;;;;;;;Ytter;;9;250;;;;;;;;;;
;Hel;;11;350;;;;;;;Hel;;10;350;;;;;;;;;;
;Halv;;12;175;;;;;;;Halv;;11;175;;;;;;;;;;
;Hel;;13;350;;;;;;;Hel;;12;350;;;;;;;;;;
;Inner;9;1;200;90;;;;;;Ytter;9;1;250;90;;;;;;;;;
;Inner;;2;200;90;;;;;;Ytter;;2;250;90;;;;;;;;;
;Hel;;3;350;;;;;;;Hel;;3;350;;;;;;;;;;
;Hel;;4;350;;;;;;;Hel;;4;350;;;;;;;;;;
;Halv;;5;175;;;;;;;Halv;;5;175;;;;;;;;;;
;Inner;;6;200;90;;;;;;Ytter;;6;250;90;;;;;;;;;
;Inner;;7;200;;;;;;;Ytter;;7;250;;;;;;;;;;
;Målbit;;8;315;;;;;;;Målbit;;8;315;;;;;;;;;;
